NAME                        IMAGE                                    COMMAND                  SERVICE           CREATED              STATUS                        PORTS
ecommerce-alertmanager      prom/alertmanager:latest                 "/bin/alertmanager -???"   alertmanager      20 hours ago         Up 50 minutes                 0.0.0.0:9093->9093/tcp, [::]:9093->9093/tcp
ecommerce-api-gateway       nginx:1.25-alpine                        "/docker-entrypoint.???"   api-gateway       20 hours ago         Up 29 seconds                 0.0.0.0:80->8080/tcp, 0.0.0.0:8000->8080/tcp, [::]:80->8080/tcp, [::]:8000->8080/tcp
ecommerce-cart-service      ecommerce_microsevices-cart-service      "docker-entrypoint.s???"   cart-service      About a minute ago   Up About a minute (healthy)   0.0.0.0:3013->3003/tcp, [::]:3013->3003/tcp
ecommerce-grafana           grafana/grafana:latest                   "/run.sh"                grafana           About a minute ago   Up About a minute             0.0.0.0:3010->3000/tcp, [::]:3010->3000/tcp
ecommerce-jaeger            jaegertracing/all-in-one:latest          "/go/bin/all-in-one-???"   jaeger            20 hours ago         Up 50 minutes                 0.0.0.0:16686->16686/tcp, [::]:16686->16686/tcp
ecommerce-loki              grafana/loki:3.6.0                       "/usr/bin/loki -conf???"   loki              19 hours ago         Up 50 minutes                 0.0.0.0:3100->3100/tcp, [::]:3100->3100/tcp
ecommerce-mongodb           mongo:7.0                                "docker-entrypoint.s???"   mongodb           20 hours ago         Up 50 minutes (healthy)       0.0.0.0:27017->27017/tcp, [::]:27017->27017/tcp
ecommerce-order-service     ecommerce_microsevices-order-service     "docker-entrypoint.s???"   order-service     11 hours ago         Up 50 minutes (healthy)       0.0.0.0:3004->3004/tcp, [::]:3004->3004/tcp
ecommerce-otel-collector    otel/opentelemetry-collector:latest      "/otelcol --config=/???"   otel-collector    20 hours ago         Up 50 minutes                 4317-4318/tcp, 55679/tcp
ecommerce-payment-service   ecommerce_microsevices-payment-service   "docker-entrypoint.s???"   payment-service   11 hours ago         Up 50 minutes (healthy)       0.0.0.0:3005->3005/tcp, [::]:3005->3005/tcp
ecommerce-product-service   ecommerce_microsevices-product-service   "docker-entrypoint.s???"   product-service   32 seconds ago       Up 30 seconds (healthy)       0.0.0.0:3012->3002/tcp, [::]:3012->3002/tcp
ecommerce-prometheus        prom/prometheus:latest                   "/bin/prometheus --c???"   prometheus        20 hours ago         Up 50 minutes                 0.0.0.0:9090->9090/tcp, [::]:9090->9090/tcp
ecommerce-promtail          grafana/promtail:3.6.0                   "/usr/bin/promtail -???"   promtail          19 hours ago         Up 50 minutes                 
ecommerce-redis             redis:7.2-alpine                         "docker-entrypoint.s???"   redis             20 hours ago         Up 50 minutes (healthy)       0.0.0.0:6379->6379/tcp, [::]:6379->6379/tcp
ecommerce-user-service      ecommerce_microsevices-user-service      "docker-entrypoint.s???"   user-service      32 seconds ago       Up 30 seconds (healthy)       0.0.0.0:3011->3001/tcp, [::]:3011->3001/tcp
